epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,2695.56,0.66275,0.35401,0.81001,0.98972,0.96639,0.98012,0.76803,0.84219,0.41869,0.83269,0.0003269,0.0003269,0.0003269
171,2710.68,0.65953,0.34347,0.80971,0.98077,0.97479,0.9819,0.77155,0.8667,0.40127,0.85644,0.000317,0.000317,0.000317
172,2723.5,0.65482,0.3603,0.81278,0.98918,0.96639,0.9795,0.77863,0.85744,0.39139,0.85373,0.0003071,0.0003071,0.0003071
173,2737.24,0.66157,0.33974,0.80195,0.99138,0.97479,0.98048,0.76528,0.88416,0.41153,0.84309,0.0002972,0.0002972,0.0002972
174,2751.56,0.64089,0.3409,0.80414,0.98945,0.95798,0.98393,0.77661,0.85838,0.41722,0.83227,0.0002873,0.0002873,0.0002873
175,2768.11,0.66624,0.36297,0.8099,0.98952,0.95798,0.98372,0.7747,0.8492,0.41951,0.82688,0.0002774,0.0002774,0.0002774
176,2782.72,0.60428,0.32831,0.80788,0.98974,0.94958,0.98353,0.76844,0.85259,0.41955,0.82743,0.0002675,0.0002675,0.0002675
177,2797.88,0.64919,0.3388,0.8205,0.98942,0.95798,0.98304,0.76914,0.86637,0.42029,0.83903,0.0002576,0.0002576,0.0002576
178,2811.75,0.65089,0.33981,0.81569,0.99117,0.96639,0.9837,0.78405,0.86705,0.40154,0.86998,0.0002477,0.0002477,0.0002477
179,2825.17,0.67931,0.3687,0.81495,0.9913,0.95766,0.98289,0.77007,0.86926,0.40907,0.84512,0.0002378,0.0002378,0.0002378
